scrambled_id,year,month,day,mean_temp,high_temp,high_time,low_temp,low_time,heat_deg_days,cool_deg_days,rain,wind_avg,wind_hi,wind_hi_time,dom_dir,mean_barom,mean_hum,flagged,anomaly_note
SC63712,2006,2,21,27.5,32.1,12:57pm,20.8,6:17am,38,0,0.0,3,18,11:55am,E,1009.88,64,N,
SC24180,2006,2,22,28.4,33.5,1:17pm,20.8,6:29am,38,0,0.0,2,18,2:43pm,ESE,1011.3,66,N,
SC50447,2006,2,23,27.5,33.0,1:22pm,20.3,6:04am,38,0,0.0,2,18,1:07pm,ENE,1010.57,58,N,
SC96278,2006,2,24,28.7,33.2,12:06pm,20.7,6:21am,38,0,0.0,3,18,12:16pm,E,1010.22,65,N,
SC96390,2006,2,25,27.6,34.1,11:22am,20.3,6:32am,38,0,0.0,3,18,1:25pm,E,1010.71,70,N,
SC56487,2006,2,26,27.7,32.8,12:19pm,21.1,5:57am,38,0,0.0,3,23,1:32pm,E,1009.86,75,N,
SC74888,2006,2,27,28.6,32.7,12:05pm,22.4,4:49am,38,0,0.0,3,21,3:04pm,ESE,1009.14,76,N,
SC14983,2006,2,28,29.6,32.7,12:28pm,25.1,6:21am,37,0,0.0,6,24,9:01pm,ESE,1011.31,72,N,
SC18437,2006,3,1,30.4,33.5,11:07am,25.9,6:18am,37,0,0.0,4,24,1:16pm,ESE,1008.07,75,N,
SC42372,2006,3,2,28.6,32.0,11:24am,23.7,6:41am,37,0,0.0,3,27,10:38pm,E,1010.02,73,N,
SC74918,2006,3,3,29.2,33.2,12:07pm,25.9,12:00am,38,0,9.0,3,26,2:05pm,ESE,1009.65,79,N,
SC92550,2006,3,4,28.8,31.2,12:51pm,24.4,5:59am,38,0,0.0,3,23,11:14am,SE,1010.2,80,N,
SC37449,2006,3,5,28.4,32.0,12:51pm,23.1,6:37am,37,0,0.0,3,23,2:33pm,ESE,1011.87,75,N,
SC76652,2006,3,6,29.8,33.0,10:39am,24.1,6:29am,37,0,0.0,4,24,1:18pm,ESE,1013.51,69,N,
SC88756,2006,3,7,30.3,33.1,1:56pm,25.0,6:30am,37,0,0.0,4,24,1:28pm,ESE,1010.95,71,N,
SC98641,2006,3,8,29.7,32.6,11:29am,23.9,6:29am,37,0,0.0,4,26,3:49pm,ESE,1013.8,68,N,
SC93135,2006,3,9,29.4,32.1,11:44am,24.0,6:13am,37,0,0.0,5,24,3:31pm,E,1012.28,72,N,
SC86722,2006,3,10,30.4,33.0,11:30am,25.3,6:34am,37,0,0.1,5,24,3:20pm,ESE,1010.35,67,N,
SC74212,2006,3,11,29.0,31.4,3:23pm,24.1,11:10am,37,0,0.4,3,23,4:31pm,ESE,1009.7,75,N,
SC15725,2006,3,12,29.6,32.1,10:47am,25.2,6:28am,37,0,0.0,5,26,3:46pm,ESE,1011.05,76,N,
SC19818,2006,3,13,30.0,33.3,10:03am,25.6,4:15am,36,0,0.0,4,26,10:49am,ESE,1009.07,68,N,
SC49826,2006,3,14,30.6,33.5,1:12pm,26.0,6:07am,35,0,0.0,5,27,2:07pm,SE,1009.72,73,N,
SC79555,2006,3,15,29.6,32.7,10:43am,25.3,6:14am,36,0,0.0,4,24,3:48pm,SE,1012.82,65,N,
